Ref,Val,Package,PosX,PosY,Rot,Side
"C142","0.001uf 50V","C_0805_2012Metric",64.450000,45.470000,-90.000000,top
"C143","47pf","C_0603_1608Metric",69.895000,34.010000,180.000000,top
"C144","12pf","C_0201_0603Metric",66.629301,37.349700,180.000000,top
"C145","12pf","C_0201_0603Metric",66.224301,38.379700,180.000000,top
"C146","12pf","C_0201_0603Metric",52.590000,38.920000,0.000000,top
"C147","12pf","C_0201_0603Metric",53.671800,38.167200,0.000000,top
"C148","10uf","C_0805_2012Metric",57.753254,47.489979,90.000000,top
"C149","0.001uf","C_0201_0603Metric",76.530000,47.500000,-90.000000,top
"C150","47pf","C_0603_1608Metric",59.510000,47.830000,90.000000,top
"C154","18pf","C_0201_0603Metric",74.680000,64.630000,-90.000000,top
"C155","100pf","C_0402_1005Metric",59.350000,71.700000,180.000000,top
"C156","1uf","C_0402_1005Metric",64.840000,69.370000,90.000000,top
"C157","100pf","C_0201_0603Metric",67.700000,78.880000,90.000000,top
"C158","18pf","C_0201_0603Metric",74.440000,71.420000,0.000000,top
"C159","1uf","C_0402_1005Metric",64.840000,74.430000,90.000000,top
"C160","100pf","C_0201_0603Metric",65.360000,72.460000,-90.000000,top
"C161","100uf","C_1206_3216Metric",-9.785737,11.207020,-90.000000,top
"C163","4.7uf","C_0402_1005Metric",7.470000,63.670000,-90.000000,top
"C167","47uf","C_1206_3216Metric",48.671800,44.010000,0.000000,top
"C168","4.7uf","C_0402_1005Metric",47.336800,45.770000,0.000000,top
"C169","100uf","C_1206_3216Metric",48.646800,53.720000,0.000000,top
"C170","47uf","C_1206_3216Metric",43.966800,28.955000,-90.000000,top
"C175","4.7uf","C_0402_1005Metric",42.196800,30.520000,-90.000000,top
"C177","0.47uf","C_0201_0603Metric",41.276800,30.730000,-90.000000,top
"C179","0.47uf","C_0201_0603Metric",46.516800,29.900000,-90.000000,top
"C181","0.47uf","C_0201_0603Metric",41.256800,29.210000,-90.000000,top
"C183","0.47uf","C_0201_0603Metric",45.646800,30.530000,-90.000000,top
"C184","0.47uf","C_0201_0603Metric",47.891800,52.030000,0.000000,top
"C185","4.7uf","C_0402_1005Metric",47.346800,40.510000,0.000000,top
"C195","22uf","C_0805_2012Metric",50.709435,62.974803,0.000000,top
"C196","0.01uf","C_0201_0603Metric",50.346800,61.520000,0.000000,top
"C199","100uf","C_1206_3216Metric",35.076800,7.460000,180.000000,top
"C201","100uf","C_1206_3216Metric",12.796800,39.290000,180.000000,top
"C209","100pf","C_0201_0603Metric",69.420000,75.810000,0.000000,top
"C210","4.7uf","C_0402_1005Metric",34.026800,20.060000,180.000000,top
"C211","0.47uf","C_0201_0603Metric",47.161800,39.520000,0.000000,top
"C221","100uf","C_1206_3216Metric",48.626800,50.220000,0.000000,top
